href,title,valor_monetario
/fenerbahce/kader/verein/36/saison_id/2008,Fenerbahce,€ 106.75 mi.
/besiktas-jk/kader/verein/114/saison_id/2008,Besiktas JK,€ 83.55 mi.
/trabzonspor/kader/verein/449/saison_id/2008,Trabzonspor,€ 57.25 mi.
/sivasspor/kader/verein/2381/saison_id/2008,Sivasspor,€ 36.70 mi.
/ankaraspor/kader/verein/2944/saison_id/2008,Ankaraspor,€ 35.38 mi.
/kayserispor/kader/verein/3205/saison_id/2008,Kayserispor,€ 33.55 mi.
/mke-ankaragucu/kader/verein/868/saison_id/2008,MKE Ankaragücü,€ 29.95 mi.
/bursaspor/kader/verein/20/saison_id/2008,Bursaspor,€ 29.50 mi.
/genclerbirligi-ankara/kader/verein/820/saison_id/2008,Genclerbirligi Ankara,€ 27.30 mi.
/konyaspor/kader/verein/2293/saison_id/2008,Konyaspor,€ 26.90 mi.
/kocaelispor/kader/verein/120/saison_id/2008,Kocaelispor,€ 26.80 mi.
/gaziantepspor/kader/verein/524/saison_id/2008,Gaziantepspor,€ 26.35 mi.
/eskisehirspor/kader/verein/825/saison_id/2008,Eskisehirspor,€ 24.95 mi.
/buyuksehir-belediyespor/kader/verein/6890/saison_id/2008,Büyüksehir Belediyespor,€ 24.90 mi.
/denizlispor/kader/verein/833/saison_id/2008,Denizlispor,€ 21.80 mi.
/hacettepe-spor/kader/verein/10483/saison_id/2008,Hacettepe Spor,€ 21.30 mi.
/antalyaspor/kader/verein/589/saison_id/2008,Antalyaspor,€ 20.75 mi.
/galatasaray/kader/verein/141/saison_id/2009,Galatasaray,€ 129.23 mi.
/fenerbahce/kader/verein/36/saison_id/2009,Fenerbahce,€ 119.45 mi.
/besiktas-jk/kader/verein/114/saison_id/2009,Besiktas JK,€ 93.60 mi.
/trabzonspor/kader/verein/449/saison_id/2009,Trabzonspor,€ 66.95 mi.
/bursaspor/kader/verein/20/saison_id/2009,Bursaspor,€ 51.75 mi.
/mke-ankaragucu/kader/verein/868/saison_id/2009,MKE Ankaragücü,€ 44.70 mi.
/kayserispor/kader/verein/3205/saison_id/2009,Kayserispor,€ 38.50 mi.
/sivasspor/kader/verein/2381/saison_id/2009,Sivasspor,€ 33.65 mi.
/gaziantepspor/kader/verein/524/saison_id/2009,Gaziantepspor,€ 32.45 mi.
