href,title,valor_monetario
/manchester-city-fc/kader/verein/281/saison_id/2021,Manchester City FC,€ 1.00 bilhões
/fc-liverpool/kader/verein/31/saison_id/2021,FC Liverpool,€ 918.90 mi.
/chelsea-fc/kader/verein/631/saison_id/2021,Chelsea FC,€ 914.50 mi.
/manchester-united-fc/kader/verein/985/saison_id/2021,Manchester United FC,€ 769.15 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2021,Tottenham Hotspur,€ 689.35 mi.
/fc-arsenal/kader/verein/11/saison_id/2021,FC Arsenal,€ 613.05 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2021,Leicester City FC,€ 526.55 mi.
/aston-villa-fc/kader/verein/405/saison_id/2021,Aston Villa FC,€ 487.75 mi.
/fc-everton/kader/verein/29/saison_id/2021,FC Everton,€ 479.05 mi.
/wolverhampton-wanderers/kader/verein/543/saison_id/2021,Wolverhampton Wanderers,€ 376.95 mi.
/west-ham-united/kader/verein/379/saison_id/2021,West Ham United,€ 354.90 mi.
/brighton-amp-hove-albion/kader/verein/1237/saison_id/2021,Brighton & Hove Albion,€ 318.00 mi.
/newcastle-united/kader/verein/762/saison_id/2021,Newcastle United,€ 313.90 mi.
/leeds-united-fc/kader/verein/399/saison_id/2021,Leeds United FC,€ 299.45 mi.
/fc-southampton/kader/verein/180/saison_id/2021,FC Southampton,€ 274.30 mi.
/brentford-fc/kader/verein/1148/saison_id/2021,Brentford FC,€ 273.30 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2021,Crystal Palace FC,€ 271.05 mi.
/norwich-city/kader/verein/1123/saison_id/2021,Norwich City,€ 163.20 mi.
/fc-watford/kader/verein/1010/saison_id/2021,FC Watford,€ 156.20 mi.
/fc-burnley/kader/verein/1132/saison_id/2021,FC Burnley,€ 137.85 mi.
