href,title,valor_monetario
/manchester-city-fc/kader/verein/281/saison_id/2017,Manchester City FC,€ 1.01 bilhões
/chelsea-fc/kader/verein/631/saison_id/2017,Chelsea FC,€ 884.25 mi.
/fc-liverpool/kader/verein/31/saison_id/2017,FC Liverpool,€ 857.50 mi.
/manchester-united-fc/kader/verein/985/saison_id/2017,Manchester United FC,€ 849.50 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2017,Tottenham Hotspur,€ 829.60 mi.
/fc-arsenal/kader/verein/11/saison_id/2017,FC Arsenal,€ 694.00 mi.
/fc-everton/kader/verein/29/saison_id/2017,FC Everton,€ 381.25 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2017,Leicester City FC,€ 304.25 mi.
/fc-southampton/kader/verein/180/saison_id/2017,FC Southampton,€ 297.00 mi.
/west-ham-united/kader/verein/379/saison_id/2017,West Ham United,€ 260.60 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2017,Crystal Palace FC,€ 220.73 mi.
/newcastle-united/kader/verein/762/saison_id/2017,Newcastle United,€ 208.28 mi.
/fc-watford/kader/verein/1010/saison_id/2017,FC Watford,€ 196.00 mi.
/stoke-city/kader/verein/512/saison_id/2017,Stoke City,€ 192.45 mi.
/fc-burnley/kader/verein/1132/saison_id/2017,FC Burnley,€ 169.30 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2017,West Bromwich Albion,€ 165.95 mi.
/swansea-city-afc/kader/verein/2288/saison_id/2017,Swansea City AFC,€ 165.49 mi.
/brighton-amp-hove-albion/kader/verein/1237/saison_id/2017,Brighton & Hove Albion,€ 148.20 mi.
/afc-bournemouth/kader/verein/989/saison_id/2017,AFC Bournemouth,€ 144.50 mi.
/huddersfield-town/kader/verein/1110/saison_id/2017,Huddersfield Town,€ 106.05 mi.
