href,title,valor_monetario
/manchester-city-fc/kader/verein/281/saison_id/2019,Manchester City FC,€ 1.05 bilhões
/fc-liverpool/kader/verein/31/saison_id/2019,FC Liverpool,€ 1.00 bilhões
/tottenham-hotspur/kader/verein/148/saison_id/2019,Tottenham Hotspur,€ 806.80 mi.
/chelsea-fc/kader/verein/631/saison_id/2019,Chelsea FC,€ 705.85 mi.
/manchester-united-fc/kader/verein/985/saison_id/2019,Manchester United FC,€ 670.45 mi.
/fc-arsenal/kader/verein/11/saison_id/2019,FC Arsenal,€ 607.65 mi.
/fc-everton/kader/verein/29/saison_id/2019,FC Everton,€ 420.55 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2019,Leicester City FC,€ 411.10 mi.
/wolverhampton-wanderers/kader/verein/543/saison_id/2019,Wolverhampton Wanderers,€ 320.33 mi.
/west-ham-united/kader/verein/379/saison_id/2019,West Ham United,€ 303.60 mi.
/afc-bournemouth/kader/verein/989/saison_id/2019,AFC Bournemouth,€ 272.18 mi.
/newcastle-united/kader/verein/762/saison_id/2019,Newcastle United,€ 252.48 mi.
/aston-villa-fc/kader/verein/405/saison_id/2019,Aston Villa FC,€ 231.70 mi.
/fc-southampton/kader/verein/180/saison_id/2019,FC Southampton,€ 210.75 mi.
/brighton-amp-hove-albion/kader/verein/1237/saison_id/2019,Brighton & Hove Albion,€ 200.78 mi.
/fc-watford/kader/verein/1010/saison_id/2019,FC Watford,€ 199.60 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2019,Crystal Palace FC,€ 189.33 mi.
/fc-burnley/kader/verein/1132/saison_id/2019,FC Burnley,€ 163.88 mi.
/norwich-city/kader/verein/1123/saison_id/2019,Norwich City,€ 145.33 mi.
/sheffield-united/kader/verein/350/saison_id/2019,Sheffield United,€ 138.60 mi.
