href,title,valor_monetario
/manchester-city-fc/kader/verein/281/saison_id/2022,Manchester City FC,€ 1.15 bilhões
/fc-arsenal/kader/verein/11/saison_id/2022,FC Arsenal,€ 1.00 bilhões
/chelsea-fc/kader/verein/631/saison_id/2022,Chelsea FC,€ 994.95 mi.
/manchester-united-fc/kader/verein/985/saison_id/2022,Manchester United FC,€ 847.75 mi.
/fc-liverpool/kader/verein/31/saison_id/2022,FC Liverpool,€ 811.85 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2022,Tottenham Hotspur,€ 649.10 mi.
/newcastle-united/kader/verein/762/saison_id/2022,Newcastle United,€ 541.60 mi.
/brighton-amp-hove-albion/kader/verein/1237/saison_id/2022,Brighton & Hove Albion,€ 529.80 mi.
/aston-villa-fc/kader/verein/405/saison_id/2022,Aston Villa FC,€ 509.55 mi.
/wolverhampton-wanderers/kader/verein/543/saison_id/2022,Wolverhampton Wanderers,€ 497.65 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2022,Leicester City FC,€ 490.70 mi.
/west-ham-united/kader/verein/379/saison_id/2022,West Ham United,€ 465.60 mi.
/fc-southampton/kader/verein/180/saison_id/2022,FC Southampton,€ 419.95 mi.
/fc-everton/kader/verein/29/saison_id/2022,FC Everton,€ 413.15 mi.
/nottingham-forest/kader/verein/703/saison_id/2022,Nottingham Forest,€ 376.25 mi.
/brentford-fc/kader/verein/1148/saison_id/2022,Brentford FC,€ 371.20 mi.
/leeds-united-fc/kader/verein/399/saison_id/2022,Leeds United FC,€ 345.15 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2022,Crystal Palace FC,€ 323.05 mi.
/fc-fulham/kader/verein/931/saison_id/2022,FC Fulham,€ 295.10 mi.
/afc-bournemouth/kader/verein/989/saison_id/2022,AFC Bournemouth,€ 287.20 mi.
