href,title,valor_monetario
/manchester-city-fc/kader/verein/281/saison_id/2023,Manchester City FC,€ 1.46 bilhões
/fc-arsenal/kader/verein/11/saison_id/2023,FC Arsenal,€ 1.20 bilhões
/chelsea-fc/kader/verein/631/saison_id/2023,Chelsea FC,€ 1.01 bilhões
/fc-liverpool/kader/verein/31/saison_id/2023,FC Liverpool,€ 955.65 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2023,Tottenham Hotspur,€ 838.50 mi.
/manchester-united-fc/kader/verein/985/saison_id/2023,Manchester United FC,€ 808.35 mi.
/aston-villa-fc/kader/verein/405/saison_id/2023,Aston Villa FC,€ 709.65 mi.
/newcastle-united/kader/verein/762/saison_id/2023,Newcastle United,€ 652.25 mi.
/brighton-amp-hove-albion/kader/verein/1237/saison_id/2023,Brighton & Hove Albion,€ 524.40 mi.
/nottingham-forest/kader/verein/703/saison_id/2023,Nottingham Forest,€ 501.35 mi.
/west-ham-united/kader/verein/379/saison_id/2023,West Ham United,€ 487.50 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2023,Crystal Palace FC,€ 446.58 mi.
/wolverhampton-wanderers/kader/verein/543/saison_id/2023,Wolverhampton Wanderers,€ 442.73 mi.
/brentford-fc/kader/verein/1148/saison_id/2023,Brentford FC,€ 428.78 mi.
/afc-bournemouth/kader/verein/989/saison_id/2023,AFC Bournemouth,€ 401.75 mi.
/fc-everton/kader/verein/29/saison_id/2023,FC Everton,€ 391.75 mi.
/fc-fulham/kader/verein/931/saison_id/2023,FC Fulham,€ 384.35 mi.
/fc-burnley/kader/verein/1132/saison_id/2023,FC Burnley,€ 273.48 mi.
/sheffield-united/kader/verein/350/saison_id/2023,Sheffield United,€ 152.35 mi.
/luton-town/kader/verein/1031/saison_id/2023,Luton Town,€ 140.90 mi.
