href,title,valor_monetario
/manchester-city-fc/kader/verein/281/saison_id/2020,Manchester City FC,€ 1.04 bilhões
/fc-liverpool/kader/verein/31/saison_id/2020,FC Liverpool,€ 969.65 mi.
/chelsea-fc/kader/verein/631/saison_id/2020,Chelsea FC,€ 889.20 mi.
/manchester-united-fc/kader/verein/985/saison_id/2020,Manchester United FC,€ 770.05 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2020,Tottenham Hotspur,€ 703.50 mi.
/fc-arsenal/kader/verein/11/saison_id/2020,FC Arsenal,€ 619.25 mi.
/fc-everton/kader/verein/29/saison_id/2020,FC Everton,€ 511.20 mi.
/leicester-city-fc/kader/verein/1003/saison_id/2020,Leicester City FC,€ 510.60 mi.
/wolverhampton-wanderers/kader/verein/543/saison_id/2020,Wolverhampton Wanderers,€ 450.30 mi.
/aston-villa-fc/kader/verein/405/saison_id/2020,Aston Villa FC,€ 430.70 mi.
/west-ham-united/kader/verein/379/saison_id/2020,West Ham United,€ 334.90 mi.
/brighton-amp-hove-albion/kader/verein/1237/saison_id/2020,Brighton & Hove Albion,€ 290.40 mi.
/fc-southampton/kader/verein/180/saison_id/2020,FC Southampton,€ 282.80 mi.
/newcastle-united/kader/verein/762/saison_id/2020,Newcastle United,€ 255.35 mi.
/fc-fulham/kader/verein/931/saison_id/2020,FC Fulham,€ 239.75 mi.
/leeds-united-fc/kader/verein/399/saison_id/2020,Leeds United FC,€ 238.10 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2020,Crystal Palace FC,€ 193.85 mi.
/sheffield-united/kader/verein/350/saison_id/2020,Sheffield United,€ 149.85 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2020,West Bromwich Albion,€ 141.15 mi.
/fc-burnley/kader/verein/1132/saison_id/2020,FC Burnley,€ 132.30 mi.
