href,title,valor_monetario
/aston-villa-fc/kader/verein/405/saison_id/2007,Aston Villa FC,€ 112.10 mi.
/bolton-wanderers/kader/verein/355/saison_id/2007,Bolton Wanderers,€ 104.20 mi.
/fc-fulham/kader/verein/931/saison_id/2007,FC Fulham,€ 99.05 mi.
/blackburn-rovers/kader/verein/164/saison_id/2007,Blackburn Rovers,€ 90.85 mi.
/afc-sunderland/kader/verein/289/saison_id/2007,AFC Sunderland,€ 83.60 mi.
/birmingham-city/kader/verein/337/saison_id/2007,Birmingham City,€ 82.50 mi.
/wigan-athletic/kader/verein/1071/saison_id/2007,Wigan Athletic,€ 77.75 mi.
/fc-reading/kader/verein/1032/saison_id/2007,FC Reading,€ 65.93 mi.
/derby-county/kader/verein/22/saison_id/2007,Derby County,€ 50.40 mi.
/chelsea-fc/kader/verein/631/saison_id/2008,Chelsea FC,€ 448.55 mi.
/manchester-united-fc/kader/verein/985/saison_id/2008,Manchester United FC,€ 425.95 mi.
/fc-liverpool/kader/verein/31/saison_id/2008,FC Liverpool,€ 342.85 mi.
/fc-arsenal/kader/verein/11/saison_id/2008,FC Arsenal,€ 311.45 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2008,Tottenham Hotspur,€ 278.80 mi.
/manchester-city-fc/kader/verein/281/saison_id/2008,Manchester City FC,€ 258.35 mi.
/fc-everton/kader/verein/29/saison_id/2008,FC Everton,€ 190.33 mi.
/aston-villa-fc/kader/verein/405/saison_id/2008,Aston Villa FC,€ 157.35 mi.
/fc-portsmouth/kader/verein/1020/saison_id/2008,FC Portsmouth,€ 152.60 mi.
/newcastle-united/kader/verein/762/saison_id/2008,Newcastle United,€ 134.55 mi.
/west-ham-united/kader/verein/379/saison_id/2008,West Ham United,€ 133.90 mi.
/afc-sunderland/kader/verein/289/saison_id/2008,AFC Sunderland,€ 110.30 mi.
/wigan-athletic/kader/verein/1071/saison_id/2008,Wigan Athletic,€ 103.75 mi.
/blackburn-rovers/kader/verein/164/saison_id/2008,Blackburn Rovers,€ 91.20 mi.
/fc-middlesbrough/kader/verein/641/saison_id/2008,FC Middlesbrough,€ 85.45 mi.
/fc-fulham/kader/verein/931/saison_id/2008,FC Fulham,€ 83.85 mi.
/bolton-wanderers/kader/verein/355/saison_id/2008,Bolton Wanderers,€ 81.65 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2008,West Bromwich Albion,€ 66.10 mi.
/hull-city/kader/verein/3008/saison_id/2008,Hull City,€ 64.70 mi.
/stoke-city/kader/verein/512/saison_id/2008,Stoke City,€ 63.45 mi.
/chelsea-fc/kader/verein/631/saison_id/2009,Chelsea FC,€ 451.95 mi.
/manchester-united-fc/kader/verein/985/saison_id/2009,Manchester United FC,€ 384.88 mi.
/fc-liverpool/kader/verein/31/saison_id/2009,FC Liverpool,€ 331.55 mi.
/fc-arsenal/kader/verein/11/saison_id/2009,FC Arsenal,€ 314.30 mi.
/manchester-city-fc/kader/verein/281/saison_id/2009,Manchester City FC,€ 312.50 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2009,Tottenham Hotspur,€ 263.53 mi.
/fc-everton/kader/verein/29/saison_id/2009,FC Everton,€ 218.93 mi.
/aston-villa-fc/kader/verein/405/saison_id/2009,Aston Villa FC,€ 167.38 mi.
/afc-sunderland/kader/verein/289/saison_id/2009,AFC Sunderland,€ 131.58 mi.
/west-ham-united/kader/verein/379/saison_id/2009,West Ham United,€ 121.75 mi.
/fc-fulham/kader/verein/931/saison_id/2009,FC Fulham,€ 101.18 mi.
/fc-portsmouth/kader/verein/1020/saison_id/2009,FC Portsmouth,€ 96.65 mi.
/blackburn-rovers/kader/verein/164/saison_id/2009,Blackburn Rovers,€ 91.63 mi.
/bolton-wanderers/kader/verein/355/saison_id/2009,Bolton Wanderers,€ 85.80 mi.
/stoke-city/kader/verein/512/saison_id/2009,Stoke City,€ 80.70 mi.
/wigan-athletic/kader/verein/1071/saison_id/2009,Wigan Athletic,€ 77.60 mi.
/hull-city/kader/verein/3008/saison_id/2009,Hull City,€ 73.20 mi.
/birmingham-city/kader/verein/337/saison_id/2009,Birmingham City,€ 69.65 mi.
/wolverhampton-wanderers/kader/verein/543/saison_id/2009,Wolverhampton Wanderers,€ 65.48 mi.
/fc-burnley/kader/verein/1132/saison_id/2009,FC Burnley,€ 48.15 mi.
/chelsea-fc/kader/verein/631/saison_id/2010,Chelsea FC,€ 424.10 mi.
/manchester-city-fc/kader/verein/281/saison_id/2010,Manchester City FC,€ 404.18 mi.
/manchester-united-fc/kader/verein/985/saison_id/2010,Manchester United FC,€ 388.00 mi.
/fc-liverpool/kader/verein/31/saison_id/2010,FC Liverpool,€ 339.20 mi.
/fc-arsenal/kader/verein/11/saison_id/2010,FC Arsenal,€ 324.00 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2010,Tottenham Hotspur,€ 307.08 mi.
/aston-villa-fc/kader/verein/405/saison_id/2010,Aston Villa FC,€ 202.80 mi.
/fc-everton/kader/verein/29/saison_id/2010,FC Everton,€ 184.48 mi.
/afc-sunderland/kader/verein/289/saison_id/2010,AFC Sunderland,€ 149.33 mi.
/west-ham-united/kader/verein/379/saison_id/2010,West Ham United,€ 138.75 mi.
/newcastle-united/kader/verein/762/saison_id/2010,Newcastle United,€ 119.48 mi.
